time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.000000
360,0.978559
420,0.938471
480,0.900300
540,0.900637
600,0.885657
660,0.868457
720,0.831289
780,0.822301
840,0.797152
900,0.705899
960,0.706860
1020,0.668899
1080,0.647334
1140,0.631212
1200,0.627231
1260,0.619775
1320,0.619348
1380,0.620146
1440,0.610047
1500,0.610076
1560,0.609121
1620,0.603806
1680,0.611638
1740,0.607974
1800,0.612289
1860,0.599404
1920,0.580100
1980,0.561720
2040,0.560055
2100,0.551336
2160,0.553329
2220,0.542806
2280,0.536488
2340,0.539912
2400,0.539912
2460,0.540918
2520,0.539950
2580,0.536402
2640,0.529715
2700,0.516786
2760,0.514135
2820,0.512045
2880,0.509938
2940,0.508209
3000,0.505631
3060,0.501787
3120,0.500611
3180,0.499536
3240,0.497223
3300,0.490703
3360,0.490532
3420,0.486569
3480,0.489572
3540,0.494977
