1513.7	C	M1	424	401	507913
2024.1	C	M2	401	187	661715
2251.0	C	M3	200	372	675757
4240.3	C	M4	159	301	125201
4386.9	C	M5	241	70	328185
5729.8	C	M6	492	249	846774
14158.3	C	M7	269	441	38547
15453.2	C	M8	366	465	637737
16883.0	C	M9	7	443	724395
17438.6	C	M10	366	120	11557
19342.9	C	M11	236	315	406388
21294.0	C	M12	130	254	611849
25205.0	C	M13	430	464	579800
25881.7	C	M14	412	158	774709
30970.6	C	M15	7	101	972489
31312.1	C	M16	21	392	386343
31335.4	C	M17	187	342	214844
37374.3	C	M18	336	320	356737
38145.7	C	M19	53	382	842565
40136.4	C	M20	134	241	961764
40282.6	C	M21	143	175	471790
40512.0	C	M22	196	444	967743
40630.6	C	M23	192	473	515986
42587.4	C	M24	273	132	356034
49434.9	C	M25	44	260	691111
52267.5	C	M26	174	295	115038
55348.1	C	M27	42	301	953260
55708.4	C	M28	489	312	119338
56718.5	C	M29	103	306	605811
57757.2	C	M30	399	406	790684
59159.1	C	M31	75	476	320666
63336.6	C	M32	294	187	477230
68731.1	C	M33	492	369	892490
70424.7	C	M34	315	24	347482
72912.6	C	M35	301	493	73831
74105.9	C	M36	65	271	348435
76499.2	C	M37	90	439	272232
79193.8	C	M38	483	292	35546
80569.1	C	M39	408	127	626536
81158.4	C	M40	314	143	110050
85031.2	C	M41	395	245	249667
87552.0	C	M42	340	373	363800
88347.0	C	M43	162	102	522346
91896.7	C	M44	367	107	526986
95718.2	C	M45	187	370	278846
98480.4	C	M46	493	197	181652
98832.3	C	M47	277	171	27652
100719.6	C	M48	108	110	17837
103638.6	C	M49	79	94	28617
104132.9	C	M50	229	19	826598
104653.1	C	M51	107	498	171801
104869.2	C	M52	8	80	743743
110989.6	C	M53	429	166	433664
112116.8	C	M54	158	108	871273
113108.4	C	M55	106	214	205483
113140.8	C	M56	254	47	726917
113232.2	C	M57	163	315	162605
114220.8	C	M58	159	403	841275
115414.4	C	M59	235	73	959422
119575.0	C	M60	232	312	186514
123819.9	C	M61	221	248	97193
123990.0	C	M62	369	211	807401
125236.7	C	M63	401	328	792379
126522.2	C	M64	139	48	897607
127411.6	C	M65	461	143	179645
127963.1	C	M66	332	26	851579
130782.4	C	M67	364	449	346607
131280.5	C	M68	390	491	701725
132688.1	C	M69	487	488	525221
133260.0	C	M70	133	46	447404
137333.1	C	M71	76	384	571625
138357.0	C	M72	207	78	566370
138457.3	C	M73	371	161	416038
139030.5	C	M74	94	371	846920
143201.3	C	M75	228	265	728656
146337.0	C	M76	136	449	991399
146726.9	C	M77	309	371	59636
149083.0	C	M78	463	1	5882
